region-name	full-name	short-name
International	ICPC World Finals	wf
Europe	European Regional Contest	erc
Europe	Western European Regional Contest	werc
Europe	European Championship	euc
Europe	Northwestern European Regional Contest	nwerc
Europe	Southwestern European Regional Contest	swerc
Europe	Southeastern European Regional Contest	seerc
North America	North America Championship	nac
North America	North America Division Championships	nadc
North America	North American Invitational Programming Contest	naipc
North America	North America Qualifyer	naq
North America	North America South Division	south-na
North America	North America East Division	east-na
North America	East Central NA Regional Contest	ecna
North America	Greater NY Regional Contest	gny
North America	Mid-Atlantic USA Regional Contest	mausa
