short-name	year	count	statements	data	solutions	packages
wf	2024	12	TRUE	TRUE	TRUE	TRUE
wf	2023	11	TRUE	TRUE	TRUE	TRUE
wf	2022	11	TRUE	TRUE	TRUE	TRUE
wf	2021	12	TRUE	TRUE	TRUE	TRUE
wf	2020	15	TRUE	TRUE	TRUE	TRUE
wf	2019	11	TRUE	TRUE	TRUE	TRUE
wf	2018	11	TRUE	TRUE	TRUE	TRUE
wf	2017	12	TRUE	TRUE	TRUE	TRUE
wf	2016	13	TRUE	TRUE	TRUE	TRUE
wf	2015	13	TRUE	TRUE	TRUE	TRUE
wf	2014	12	TRUE	TRUE	TRUE	TRUE
wf	2013	11	TRUE	TRUE	TRUE	TRUE
wf	2012	12	TRUE	TRUE	TRUE	TRUE
wf	2011	11	TRUE	TRUE	TRUE	FALSE
wf	2010	11	TRUE	TRUE	TRUE	FALSE
wf	2009	11	TRUE	TRUE	TRUE	FALSE
wf	2008	11	TRUE	TRUE	TRUE	FALSE
wf	2007	10	TRUE	TRUE	TRUE	FALSE
wf	2006	10	TRUE	FALSE	FALSE	FALSE
wf	2005	10	TRUE	FALSE	FALSE	FALSE
wf	2004	10	TRUE	FALSE	FALSE	FALSE
wf	2003	10	TRUE	FALSE	FALSE	FALSE
wf	2002	9	TRUE	FALSE	FALSE	FALSE
wf	2001	9	TRUE	FALSE	FALSE	FALSE
wf	2000	8	TRUE	FALSE	FALSE	FALSE
wf	1999	8	TRUE	FALSE	FALSE	FALSE
wf	1998	8	TRUE	FALSE	FALSE	FALSE
wf	1997	8	TRUE	FALSE	FALSE	FALSE
wf	1996	7	TRUE	FALSE	FALSE	FALSE
wf	1995	8	TRUE	FALSE	FALSE	FALSE
wf	1994	8	TRUE	FALSE	FALSE	FALSE
wf	1993	8	TRUE	FALSE	FALSE	FALSE
wf	1992	7	TRUE	FALSE	FALSE	FALSE
wf	1991	7	TRUE	FALSE	FALSE	FALSE
wf	1990	8	TRUE	FALSE	FALSE	FALSE
wf	1989	8	TRUE	FALSE	FALSE	FALSE
wf	1988	8	TRUE	FALSE	FALSE	FALSE
wf	1987	8	TRUE	FALSE	FALSE	FALSE
wf	1986	8	TRUE	FALSE	FALSE	FALSE
wf	1985	7	TRUE	FALSE	FALSE	FALSE
wf	1984	7	TRUE	FALSE	FALSE	FALSE
wf	1983	8	TRUE	FALSE	FALSE	FALSE
wf	1982	7	TRUE	FALSE	FALSE	FALSE
wf	1981	6	TRUE	FALSE	FALSE	FALSE
wf	1980	4	TRUE	FALSE	FALSE	FALSE
wf	1979	4	TRUE	FALSE	FALSE	FALSE
wf	1978	4	TRUE	FALSE	FALSE	FALSE
wf	1974	5	TRUE	TRUE	TRUE	TRUE
						
euc	2024	11	FALSE	FALSE	FALSE	FALSE
						
erc	1991	8	TRUE	FALSE	FALSE	FALSE
erc	1990	8	TRUE	FALSE	FALSE	FALSE
erc	1989	4	TRUE	FALSE	FALSE	FALSE
erc	1988	7	TRUE	FALSE	FALSE	FALSE
						
werc	1994	8	TRUE	FALSE	FALSE	FALSE
werc	1993	7	TRUE	FALSE	FALSE	FALSE
werc	1992	8	TRUE	FALSE	FALSE	FALSE
						
nwerc	2024	13	TRUE	TRUE	TRUE	TRUE
nwerc	2023	12	TRUE	TRUE	TRUE	TRUE
nwerc	2022	12	TRUE	TRUE	TRUE	TRUE
nwerc	2021	12	TRUE	TRUE	TRUE	TRUE
nwerc	2020	11	TRUE	TRUE	TRUE	TRUE
nwerc	2019	11	TRUE	TRUE	TRUE	TRUE
nwerc	2018	11	TRUE	TRUE	TRUE	TRUE
nwerc	2017	11	TRUE	TRUE	TRUE	TRUE
nwerc	2016	11	TRUE	TRUE	TRUE	TRUE
nwerc	2015	11	TRUE	TRUE	TRUE	TRUE
nwerc	2014	11	TRUE	TRUE	TRUE	TRUE
nwerc	2013	10	TRUE	TRUE	TRUE	FALSE
nwerc	2012	11	TRUE	TRUE	TRUE	FALSE
nwerc	2011	10	TRUE	FALSE	FALSE	FALSE
nwerc	2010	10	TRUE	FALSE	FALSE	FALSE
nwerc	2009	10	TRUE	TRUE	TRUE	TRUE
nwerc	2008	10	TRUE	TRUE	TRUE	TRUE
nwerc	2007	10	TRUE	TRUE	TRUE	FALSE
nwerc	2006	9	TRUE	TRUE	TRUE	FALSE
nwerc	2005	9	TRUE	TRUE	TRUE	FALSE
nwerc	2004	9	TRUE	TRUE	TRUE	FALSE
nwerc	2003	8	TRUE	TRUE	TRUE	FALSE
nwerc	2002	8	TRUE	FALSE	TRUE	FALSE
nwerc	2001	9	TRUE	TRUE	FALSE	FALSE
nwerc	2000	8	TRUE	TRUE	FALSE	FALSE
nwerc	1999	8	TRUE	FALSE	FALSE	FALSE
nwerc	1998	8	TRUE	FALSE	FALSE	FALSE
nwerc	1997	8	TRUE	FALSE	FALSE	FALSE
nwerc	1996	8	TRUE	FALSE	FALSE	FALSE
nwerc	1996	4	TRUE	FALSE	FALSE	FALSE
						
swerc	2024	?	FALSE	FALSE	FALSE	FALSE
swerc	2023	18	FALSE	FALSE	FALSE	FALSE
swerc	2022	12	FALSE	FALSE	FALSE	FALSE
swerc	2021	12	FALSE	FALSE	FALSE	FALSE
swerc	2020	13	TRUE	TRUE	TRUE	FALSE
swerc	2019	12	TRUE	TRUE	FALSE	FALSE
swerc	2018	11	TRUE	TRUE	FALSE	FALSE
swerc	2017	11	TRUE	TRUE	TRUE	TRUE
swerc	2016	11	TRUE	TRUE	TRUE	TRUE
swerc	2015	10	TRUE	TRUE	TRUE	TRUE
swerc	2014	10	TRUE	TRUE	TRUE	TRUE
swerc	2013	10	TRUE	FALSE	FALSE	FALSE
swerc	2012	10	TRUE	FALSE	FALSE	FALSE
swerc	2011	10	TRUE	TRUE	TRUE	FALSE
swerc	2010	10	TRUE	TRUE	TRUE	FALSE
swerc	2009	10	TRUE	TRUE	TRUE	TRUE
swerc	2008	10	TRUE	FALSE	FALSE	FALSE
swerc	2007	9	TRUE	FALSE	FALSE	FALSE
swerc	2006	9	FALSE	FALSE	FALSE	FALSE
swerc	2005	10	FALSE	FALSE	FALSE	FALSE
swerc	2004	9	FALSE	FALSE	FALSE	FALSE
swerc	2003	9	FALSE	FALSE	FALSE	FALSE
swerc	2002	9	FALSE	FALSE	FALSE	FALSE
swerc	2001	9	FALSE	FALSE	FALSE	FALSE
swerc	2000	8	FALSE	FALSE	FALSE	FALSE
swerc	1999	8	FALSE	FALSE	FALSE	FALSE
swerc	1998	9	FALSE	FALSE	FALSE	FALSE
swerc	1997	9	FALSE	FALSE	FALSE	FALSE
swerc	1996	8	TRUE	FALSE	FALSE	FALSE
swerc	1995	9	FALSE	FALSE	FALSE	FALSE
swerc	1994	8	FALSE	FALSE	FALSE	FALSE
swerc	1993	7	FALSE	FALSE	FALSE	FALSE
						
seerc	2024	?	FALSE	FALSE	FALSE	FALSE
seerc	2023	?	FALSE	FALSE	FALSE	FALSE
seerc	2022	14	FALSE	FALSE	FALSE	FALSE
seerc	2021	14	FALSE	FALSE	FALSE	FALSE
seerc	2020	13	FALSE	FALSE	FALSE	FALSE
seerc	2019	11	FALSE	FALSE	FALSE	FALSE
seerc	2018	11	FALSE	FALSE	FALSE	FALSE
seerc	2017	12	FALSE	FALSE	FALSE	FALSE
seerc	2016	11	FALSE	FALSE	FALSE	FALSE
seerc	2015	10	FALSE	FALSE	FALSE	FALSE
seerc	2014	10	FALSE	FALSE	FALSE	FALSE
seerc	2013	10	FALSE	FALSE	FALSE	FALSE
seerc	2012	10	FALSE	FALSE	FALSE	FALSE
seerc	2011	10	FALSE	FALSE	FALSE	FALSE
seerc	2010	10	FALSE	FALSE	FALSE	FALSE
seerc	2009	11	FALSE	FALSE	FALSE	FALSE
seerc	2008	9	FALSE	FALSE	FALSE	FALSE
seerc	2007	9	FALSE	FALSE	FALSE	FALSE
seerc	2006	9	FALSE	FALSE	FALSE	FALSE
seerc	2005	9	FALSE	FALSE	FALSE	FALSE
seerc	2004	9	FALSE	FALSE	FALSE	FALSE
seerc	2003	9	FALSE	FALSE	FALSE	FALSE
seerc	2002	8	FALSE	FALSE	FALSE	FALSE
seerc	2001	8	FALSE	FALSE	FALSE	FALSE
seerc	2000	8	FALSE	FALSE	FALSE	FALSE
seerc	1999	7	FALSE	FALSE	FALSE	FALSE
seerc	1998	7	FALSE	FALSE	FALSE	FALSE
seerc	1997	8	FALSE	FALSE	FALSE	FALSE
seerc	1996	7	FALSE	FALSE	FALSE	FALSE
seerc	1995	6	FALSE	FALSE	FALSE	FALSE
						
nac	2025	13	TRUE	TRUE	TRUE	TRUE
nac	2024	13	TRUE	TRUE	TRUE	TRUE
nac	2023	13	TRUE	TRUE	TRUE	TRUE
nac	2022	13	TRUE	TRUE	TRUE	TRUE
nac	2021	13	TRUE	TRUE	TRUE	TRUE
nac	2020	12	TRUE	TRUE	TRUE	TRUE
						
nadc	2021	13	TRUE	TRUE	TRUE	TRUE
						
naipc	2019	13	TRUE	TRUE	TRUE	TRUE
naipc	2018	11	TRUE	TRUE	TRUE	TRUE
naipc	2017	11	TRUE	TRUE	TRUE	TRUE
naipc	2016	11	TRUE	TRUE	TRUE	TRUE
naipc	2015	10	TRUE	TRUE	TRUE	TRUE
naipc	2014	10	TRUE	TRUE	TRUE	TRUE
						
naq	2024	12	TRUE	TRUE	TRUE	TRUE
naq	2023	12	TRUE	TRUE	TRUE	TRUE
naq	2022	12	TRUE	TRUE	TRUE	TRUE
naq	2021	14	TRUE	TRUE	TRUE	TRUE
naq	2020	4	TRUE	TRUE	TRUE	TRUE
naq	2019	13	TRUE	TRUE	TRUE	TRUE
naq	2018	13	TRUE	TRUE	TRUE	TRUE
naq	2017	13	TRUE	TRUE	TRUE	TRUE
naq	2016	12	TRUE	TRUE	TRUE	TRUE
naq	2015	11	TRUE	TRUE	TRUE	TRUE
naq	2014	11	TRUE	TRUE	TRUE	TRUE
naq	2013	11	TRUE	TRUE	TRUE	TRUE
naq	2012	11	TRUE	TRUE	TRUE	TRUE
						
south-na	2024	17	TRUE	TRUE	TRUE	TRUE
south-na	2023	19	TRUE	TRUE	TRUE	TRUE
south-na	2023	17	TRUE	TRUE	TRUE	TRUE
						
east-na	2023	12	TRUE	TRUE	TRUE	TRUE
						
ecna	2022	12	TRUE	TRUE	TRUE	TRUE
ecna	2021	13	TRUE	TRUE	TRUE	TRUE
ecna	2020	12	TRUE	TRUE	TRUE	TRUE
ecna	2019	11	TRUE	TRUE	TRUE	TRUE
ecna	2018	10	TRUE	TRUE	TRUE	TRUE
ecna	2017	10	TRUE	TRUE	TRUE	TRUE
ecna	2016	10	TRUE	TRUE	TRUE	TRUE
ecna	2015	9	TRUE	TRUE	TRUE	TRUE
ecna	2014	9	FALSE	FALSE	FALSE	FALSE
ecna	2013	9	FALSE	FALSE	FALSE	FALSE
ecna	2012	9	FALSE	FALSE	FALSE	FALSE
ecna	2011	9	FALSE	FALSE	FALSE	FALSE
ecna	2010	8	FALSE	FALSE	FALSE	FALSE
ecna	2009	8	FALSE	FALSE	FALSE	FALSE
ecna	2008	8	FALSE	FALSE	FALSE	FALSE
ecna	2007	8	FALSE	FALSE	FALSE	FALSE
ecna	2006	8	FALSE	FALSE	FALSE	FALSE
ecna	2005	8	FALSE	FALSE	FALSE	FALSE
ecna	2004	8	FALSE	FALSE	FALSE	FALSE
ecna	2003	8	FALSE	FALSE	FALSE	FALSE
ecna	2002	8	FALSE	FALSE	FALSE	FALSE
ecna	2001	8	FALSE	FALSE	FALSE	FALSE
ecna	2000	8	FALSE	FALSE	FALSE	FALSE
ecna	1999	8	FALSE	FALSE	FALSE	FALSE
ecna	1998	8	FALSE	FALSE	FALSE	FALSE
ecna	1997	7	TRUE	FALSE	FALSE	FALSE
ecna	1996	7	FALSE	FALSE	FALSE	FALSE
ecna	1995	7	FALSE	FALSE	FALSE	FALSE
ecna	1994	8	FALSE	FALSE	FALSE	FALSE
ecna	1993	8	FALSE	FALSE	FALSE	FALSE
ecna	1992	8	FALSE	FALSE	FALSE	FALSE
ecna	1991	6	FALSE	FALSE	FALSE	FALSE
ecna	1990	6	FALSE	FALSE	FALSE	FALSE
ecna	1989	4	FALSE	FALSE	FALSE	FALSE
ecna	1988	4	FALSE	FALSE	FALSE	FALSE
ecna	1987	4	FALSE	FALSE	FALSE	FALSE
ecna	1986	5	FALSE	FALSE	FALSE	FALSE
ecna	1985	5	FALSE	FALSE	FALSE	FALSE
ecna	1984	4	FALSE	FALSE	FALSE	FALSE
						
gny	2023	12	FALSE	FALSE	FALSE	FALSE
gny	2022	10	FALSE	FALSE	FALSE	FALSE
gny	2021	15	FALSE	FALSE	FALSE	FALSE
gny	2020	12	FALSE	FALSE	FALSE	FALSE
gny	2019	11	FALSE	FALSE	FALSE	FALSE
gny	2018	10	FALSE	FALSE	FALSE	FALSE
gny	2017	10	FALSE	FALSE	FALSE	FALSE
gny	2016	10	FALSE	FALSE	FALSE	FALSE
gny	2015	9	FALSE	FALSE	FALSE	FALSE
gny	2014	9	FALSE	FALSE	FALSE	FALSE
gny	2013	9	FALSE	FALSE	FALSE	FALSE
gny	2012	10	FALSE	FALSE	FALSE	FALSE
gny	2011	9	FALSE	FALSE	FALSE	FALSE
gny	2010	9	FALSE	FALSE	FALSE	FALSE
gny	2009	9	FALSE	FALSE	FALSE	FALSE
gny	2008	9	FALSE	FALSE	FALSE	FALSE
gny	2007	9	FALSE	FALSE	FALSE	FALSE
gny	2006	9	FALSE	FALSE	FALSE	FALSE
gny	2005	9	FALSE	FALSE	FALSE	FALSE
gny	2004	9	FALSE	FALSE	FALSE	FALSE
gny	2003	9	FALSE	FALSE	FALSE	FALSE
gny	2002	9	FALSE	FALSE	FALSE	FALSE
gny	2001	9	FALSE	FALSE	FALSE	FALSE
gny	2000	8	FALSE	FALSE	FALSE	FALSE
gny	1999	8	FALSE	FALSE	FALSE	FALSE
gny	1998	7	FALSE	FALSE	FALSE	FALSE
gny	1997	7	FALSE	FALSE	FALSE	FALSE
						
mausa	2021	13	TRUE	TRUE	TRUE	TRUE
mausa	2020	14	TRUE	TRUE	TRUE	TRUE
mausa	2019	8	TRUE	TRUE	TRUE	TRUE
mausa	2018	8	TRUE	TRUE	TRUE	TRUE
mausa	2017	8	TRUE	TRUE	TRUE	TRUE
mausa	2016	8	FALSE	FALSE	FALSE	FALSE
mausa	2015	8	FALSE	FALSE	FALSE	FALSE
mausa	2014	8	TRUE	FALSE	FALSE	FALSE
mausa	2013	8	TRUE	FALSE	FALSE	FALSE
